Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled
Rakning C-19,Iceland,https://www.covid.is/app/,yes,no,14 days,yes,yes,yes,yes,no,yes,yes,yes,both,yes,yes,no,na,gps,yes,none,"100,000",3.0,EURO,released,2020-03-31,
Aarogya Setu,India,https://theprint.in/opinion/india-can-prevent-long-term-lockdown-contain-covid-if-90-people-download-aarogya-setu/401116/,yes,no,45 days,no,no,no,unknown,no,yes,yes,yes,both,no,yes,no,no,ble + gps,yes,none,"100,000,000",4.1,SEARO,released,2020-04-02,
SMC COVID-19 Tracker,India,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1613926,yes,no,no,no,no,no,no (quarantine),no,no,no,yes,android only,no,no,no,no,gps,yes,none,"100,000",3.1,SEARO,released,2020-04-03,
Unmaze,India,https://www.expresscomputer.in/news/indian-ai-startup-creates-app-that-alerts-presence-of-nearby-home-quarantined-people-for-coronavirus/52117/,no,no,no,no,no,no,no (quarantine),no,no,no,yes,unknown,no,no,na,na,gps,unknown,none,,,EURO,released,,
SAIYAM,India,https://government.economictimes.indiatimes.com/news/digital-india/pune-municipal-corporation-develops-saiyam-app-to-track-home-quarantine/75286114,yes,no,unknown,no,no,no,no (quarantine),no,no,no,yes,android only,no,no,no,no,gps,yes,none,"1,000",3.8,SEARO,released,2020-04-26,
COVID-19 Quarantine Monitor,India,https://play.google.com/store/apps/details?id=com.pixxonai.covid19&hl=en_US&gl=US,yes,no,unknown,no,no,no,no (quarantine),no,no,no,yes,android only,no,no,na,no,na,yes,none,"100,000",3.9,SEARO,released,2020-05-09,
Mahakavach,India,https://play.google.com/store/apps/details?id=com.mahakavach&hl=en_CA,yes,no,unknown,no,no,no,no (quarantine),no,no,no,yes,android only,no,unknown,no,no,gps,yes,none,"100,000",2.6,SEARO,released,2020-05-09,
Quarantine Watch,India,https://play.google.com/store/apps/details?id=com.bmc.qrtnwatch&hl=en_US&gl=US,yes,no,unknown,yes,yes,unknown,no (heatmap),no,no,no,yes,both,no,unknown,no,no,gps,yes,none,"100,000",3.2,SEARO,released,2020-03-27,
Quarantine Watch,India,https://www.business-standard.com/article/technology/quarantine-watch-karnataka-uses-apps-to-keep-track-of-people-under-watch-120040201641_1.html,yes,no,unknown,no,no,no,no (quarantine),no,no,no,yes,android only,no,no,no,no,gps,yes,none,"100,000",2.0,SEARO,released,2020-03-30,
PeduliLindungi,Indonesia,https://play.google.com/store/apps/details?id=com.telkom.tracencare,yes,no,14 days,yes,yes,unknown,unknown,yes,no,no,yes,both,yes,unknown,no,unknown,ble,unknown,none,"1,000,000",3.9,SEARO,released,2020-04-13,
Mask.ir,Iran,https://mask.ir/faq.html,yes,yes,no,yes,yes,no,unknown,no,no,yes,yes,both,no,yes,no,unknown,ble + gps + qr code,unknown,none,,,EMRO,released,,
COVID Tracker app,Ireland,https://covidtracker.gov.ie/,yes,yes,28 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"500,000",4.3,EURO,development,2020-06-24,
Code Orange,Israel,https://docs.google.com/document/d/1Nv_Uxt3ATyzaD-rY5nu-BU-CXNHvF9LblwdOFzWc0s4,yes,no,14 days,yes,yes,unknown,unknown,unknown,no,no,yes,both,unknown,unknown,no,na,gps,unknown,none,,,EMRO,cancelled,,2020-03-15
Track Virus,Israel,https://www.track-virus.com/,yes,no,unknown,yes,yes,yes,unknown,unknown,no,no,yes,both,yes,unknown,no,na,gps,yes,none,"100,000",3.4,EMRO,released,2020-03-31,
HaMagen,Israel,https://govextra.gov.il/ministry-of-health/hamagen-app/download-en/,no,no,14 days,yes,yes,yes,yes,yes,yes,no,yes,both,yes,yes,no,na,gps,yes,none,"1,000,000",3.9,EMRO,released,2020-03-22,
SM_Covid19,Italy,https://www.smcovid19.org/,no,unknown,30 days,yes,yes,yes,no (heatmap),unknown,no,yes,yes,both,yes,yes,no,yes,ble,unknown,ReCoVer,"50,000",4.0,EMRO,released,2020-03-31,
Immuni,Italy,https://www.nytimes.com/reuters/2020/04/17/technology/17reuters-health-coronavirus-italy-technology.html,yes,yes,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"1,000,000",3.8,EURO,released,2020-06-01,
