Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled,has_protocol,state,protocol_other,score
Mask.ir,Iran,https://mask.ir/faq.html,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,none,,,EMRO,released,,,no,,none,3.1666666666666665
COVID Tracker app,Ireland,https://covidtracker.gov.ie/,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"500,000",4.3,EURO,development,2020-06-24,,yes,,Apple/Google,8.0
Code Orange,Israel,https://docs.google.com/document/d/1Nv_Uxt3ATyzaD-rY5nu-BU-CXNHvF9LblwdOFzWc0s4,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,none,,,EMRO,cancelled,,2020-03-15,no,,none,2.1666666666666665
Track Virus,Israel,https://www.track-virus.com/,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,none,"100,000",3.4,EMRO,released,2020-03-31,,no,,none,3.0
HaMagen,Israel,https://govextra.gov.il/ministry-of-health/hamagen-app/download-en/,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,none,"1,000,000",3.9,EMRO,released,2020-03-22,,no,,none,5.5
SM_Covid19,Italy,https://www.smcovid19.org/,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,ReCoVer,"50,000",4.0,EMRO,released,2020-03-31,,yes,,other,5.0
Immuni,Italy,https://www.nytimes.com/reuters/2020/04/17/technology/17reuters-health-coronavirus-italy-technology.html,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"1,000,000",3.8,EURO,released,2020-06-01,,yes,,Apple/Google,8.0
diAry,Italy,https://covid19app.uniurb.it/en/diary-lets-stop-covid-19-together/,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,none,500,,EURO,development,,,no,,none,4.166666666666666
COVID19Radar,Japan,https://lp-covid-19radarjapan.studio.design/,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,none,,,WPRO,released,2020-05-25,,no,,none,6.5
COCOA,Japan,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/cocoa_00138.html,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"1,000,000",2.7,WPRO,released,2020-06-17,,yes,,Apple/Google,7.0
Jersey COVID Alert,Jersey,https://covidalert.gov.je/Pages/default.aspx,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"10,000",3.3,EURO,released,2020-10-12,,yes,,Apple/Google,7.5
AMAN App,Jordan,https://www.amanapp.jo/en,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,none,"500,000",4.4,EMRO,released,2020-05-21,,no,,none,5.166666666666666
Saqbol,Kazakhstan,https://egov.kz/cms/en/information/about/Saqbol_mobileapp,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",1.8,EURO,released,2020-09-02,,yes,,Apple/Google,7.0
Shlonik,Kuwait,https://play.google.com/store/apps/details?id=com.healthcarekw.app&hl=en_US,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,none,"50,000",4.0,EMRO,released,2020-04-09,,no,,none,1.6666666666666663
Apturi Covid Latvia,Latvia,https://apturicovid.lv/#en,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"50,000",3.5,EMRO,released,2020-05-26,,yes,,Apple/Google,7.5
Korona Stop LT,Lithuania,https://koronastop.lrv.lt/en/,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",2.1,EURO,released,2020-11-03,,yes,,Apple/Google,7.5
MyTrace,Malaysia,https://www.malaysiakini.com/news/523824,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,none,"100,000",3.9,WPRO,released,2020-04-22,,no,,none,3.1666666666666665
Gerak Malaysia,Malaysia,https://www.gerakmalaysia.gov.my/,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,none,"1,000,000",3.3,WPRO,released,2020-04-12,,no,,none,2.0
COVIDTrace,Malaysia,https://play.google.com/store/apps/details?id=com.sains.safetrace&hl=en_US,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,none,"50,000",3.3,WPRO,released,2020-05-05,,no,,none,5.5
MySejahtera,Malaysia,https://mysejahtera.malaysia.gov.my/intro_en/,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,none,"1,000,000",4.7,SEARO,released,2020-03-27,,no,,none,2.6666666666666665
COVID Alert Malta,Malta,https://covidalert.gov.mt/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,DP3T,"50,000",4.3,EURO,released,2020-09-02,,yes,,DP3T/TCN,7.5
CovidRadar,Mexico,http://covidradar.mx/,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,none,,,LATAM,released,2020-04-19,,no,,none,3.1666666666666665
Wiqaytna,Morocco,https://www.wiqaytna.ma/Default_Fr.aspx,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,none,"1,000,000",4.3,EMRO,released,2020-05-31,,no,,none,7.5
PrivateTracer,Netherlands,https://www.privatetracer.org/,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,DP3T,,,EURO,cancelled,,,yes,,DP3T/TCN,5.5
CoronaMelder,Netherlands,https://www.coronamelder.nl/en/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"1,000,000",3.0,EURO,released,2020-08-15,,yes,,Apple/Google,7.0
NZ COVID Tracer,New Zealand,https://tracing.covid19.govt.nz/,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,yes,none,"100,000",2.2,WPRO,released,2020-05-20,,no,,none,4.666666666666666
StopKorona!,North Macedonia,https://stop.koronavirus.gov.mk/,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,none,"50,000",3.1,EURO,released,2020-04-12,,no,,none,5.5
StopCOVID NI,Northern Ireland,https://covid-19.hscni.net/stop-covid-ni-mobile-app/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.3,EURO,released,2020-07-28,,yes,,Apple/Google,7.5
Smittestopp,Norway,https://helsenorge.no/smittestopp,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,none,"100,000",2.2,EURO,released,2020-04-16,,no,,none,4.5
PeruEnTusManos,Peru,https://play.google.com/store/apps/details?id=peruentusmanos.gob.pe,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,none,"1,000,000",2.9,LATAM,released,2020-04-03,,no,,none,2.1666666666666665
"
StaySafe PH",Philippines,https://www.staysafe.ph/,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,none,"100,000",3.9,WPRO,released,2020-05-04,,no,,none,2.1666666666666665
ENDCoV,Philippines,https://endcov.org/,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,none,"5,000",3.8,WPRO,released,2020-03-27,,no,,none,2.1666666666666665
WeTrace PH,Philippines,https://www.wetrace.ph/,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,none,"5,000",3.2,WPRO,released,2020-04-05,,no,,none,2.0
ProteGO Safe,Poland,https://play.google.com/store/apps/details?id=pl.gov.mc.protegosafe&hl=en_US,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",3.1,EURO,released,2020-04-19,,yes,,Apple/Google,7.5
STAYAWAY COVID,Portugal,https://stayawaycovid.pt/landing-page/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"1,000,000",2.8,EURO,released,2020-08-20,,yes,,Apple/Google,7.0
Ehteraz,Qatar,https://portal.www.gov.qa/wps/portal/media-center/news/news-details/todeterminecoronavirustransmissionchainsehterazappisnowavailablefordownload,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,none,"1,000,000",3.7,EMRO,released,2020-04-25,,no,,none,1.0
Contact Tracer,Russia,https://contacttracer.ru/,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,none,,,EURO,released,,,no,,none,0.5
Social Monitoring,Russia,https://play.google.com/store/apps/details?id=ru.mos.app,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,none,"500,000",4.1,EURO,released,2020-03-25,,no,,none,2.0
Tabaud,Saudi Arabia,https://tabaud.sdaia.gov.sa/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,Apple/Google,"500,000",4.4,EMRO,released,2020-06-12,,yes,,Apple/Google,6.5
Tawakkalna,Saudi Arabia,https://play.google.com/store/apps/details?id=sa.gov.nic.tawakkalna&hl=en_CA,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,none,"1,000,000",4.7,EMRO,released,2020-04-06,,no,,none,1.0
Protect Scotland,Scotland,https://protect.scot/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"500,000",3.7,EURO,released,2020-09-06,,yes,,Apple/Google,7.5
Daancovid19,Senegal,https://daancovid19.sn/,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,Whisper,,,AFRO,cancelled,,,yes,,other,6.166666666666666
TraceTogether,Singapore,https://www.tracetogether.gov.sg/,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,OpenTrace,"1,000,000",4.2,WPRO,released,2020-02-18,,yes,,other,7.0
CovCT,Singapore,https://covct.org/,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,yes,none,,,WPRO,released,,,no,,none,3.333333333333333
Zostaň Zdravý,Slovakia,https://www.zostanzdravy.sk/,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,none,,,EURO,released,2020-03-16,,no,,none,3.1666666666666665
#OstaniZdrav,Slovenia,https://www.gov.si/en/topics/coronavirus-disease-covid-19/the-ostanizdrav-mobile-application/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"100,000",2.2,EURO,released,2020-08-11,,yes,,Apple/Google,7.0
Covi-ID,South Africa,https://coviid.me/,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,none,100,,AFRO,cancelled,2020-04-30,,no,,none,5.666666666666666
COVID Alert South Africa,South Africa,https://sacoronavirus.co.za/covidalert/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,"1,000,000",3.5,AFRO,released,2020-08-16,,yes,,Apple/Google,7.0
Corona 100m (Co100),South Korea,https://play.google.com/store/apps/details?id=com.tina3d.corona100m&hl=en_US,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,none,,,WPRO,released,,,no,,none,2.6666666666666665
Open Coronavirus,Spain,https://opencoronavirus.app/,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,DP3T,,,EURO,released,,,yes,,DP3T/TCN,6.666666666666666
Radar COVID,Spain,https://radarcovid.gob.es/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,DP3T,"1,000,000",2.8,EURO,released,2020-06-27,,yes,,DP3T/TCN,7.5
WeTrace,Switzerland,https://wetrace.ch/,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none,,,WPRO,cancelled,2020-04-19,,no,,none,6.666666666666666
